number,state,loss,anchor_name,mamba_expand,depth_tier,d_state,ska_n_heads,ska_rank,n_ska_layers,placement,ska_ridge,ska_layerscale_init,norm_clip_multiplier,gamma_value,ska_power_K,beta_policy,learning_rate,weight_decay,warmup_ratio,grad_clip,n_layers,d_inner,param_count,ska_delta,tokens_per_sec,peak_memory_gib,per_device_batch_size,model_seed,reference_group,run_id
24,PRUNED,3.112566746781737,,3,lean,16,2,8,3,late,0.027216419786744224,0.010871805504541617,1.0,1.0,1,learned,0.0013192228362308496,0.1,0.06,1.0,14,1152,48981014,,,,12,42,,
25,COMPLETE,2.7848457396030426,,2,lean,32,4,48,4,late,0.0097017478119532,0.27119871609346563,1.0,1.0,1,linear,0.0023059917950209187,0.1,0.06,1.0,17,768,49992032,0.22586777806282043,78479.44170451215,3.530810832977295,12,42,,1737e266
26,PRUNED,3.105678805453063,,2,full,24,4,24,4,late,0.018651594853993557,0.0541823055096652,1.0,1.0,1,linear,0.0037374947193291566,0.15,0.1,1.0,18,768,51698320,,,,12,42,,
27,PRUNED,3.1479596723903165,,1,lean,24,4,48,4,late,0.015063387308590012,0.09555857348608435,1.0,1.0,1,linear,0.0067021120873255735,0.15,0.1,1.0,22,384,50434144,,,,12,42,,
28,PRUNED,3.071171629848819,,3,full,32,1,32,6,late,0.010359539795266399,0.03424773383396423,1.0,1.0,1,linear,0.005467154860730752,0.1,0.04,1.0,15,1152,52720110,,,,12,42,,
29,COMPLETE,2.7736617028713226,,3,full,32,4,48,6,late,0.013473940085234346,0.005085398944466195,1.0,1.0,1,linear,0.0023409149760656245,0.05,0.1,1.0,15,1152,53464320,0.21871912479400635,8294.466346966252,3.5695977210998535,12,42,,400d5ed6
30,PRUNED,3.142029300828901,,2,lean,8,1,8,3,late,0.010941024917347676,0.07637988310292942,1.0,1.0,1,linear,0.0012531975987901196,0.05,0.06,1.0,17,768,48802531,,,,12,42,,
31,PRUNED,3.1386703942283676,,3,full,16,2,24,3,late,0.012492991574357775,0.010411499951906324,1.0,1.0,1,head_scalar,0.007451470267621815,0.15,0.04,1.0,15,1152,51607182,,,,12,42,,
32,PRUNED,3.080324868285608,,1,lean,16,2,24,6,late,0.019452213401157308,0.009034142690175476,1.0,1.0,1,linear,0.002347163442163483,0.05,0.06,1.0,22,384,50518396,,,,12,42,,
33,PRUNED,3.072908168375082,,2,lean,16,1,48,3,late,0.012781299088477353,0.058436252188729644,1.0,1.0,1,learned,0.0019300152069957014,0.1,0.02,1.0,17,768,49000499,,,,12,42,,
34,PRUNED,3.1151933379274634,,2,lean,24,4,8,6,late,0.004450675602320626,0.20388918569651243,1.0,1.0,1,learned,0.006589160026926243,0.1,0.1,1.0,17,768,50038296,,,,12,42,,
35,PRUNED,2.8872135054142753,,2,lean,24,4,8,4,late,0.004487958201623776,0.1272248468886035,1.0,1.0,1,learned,0.003839130335553341,0.05,0.04,1.0,17,768,49394704,,,,12,42,,
36,PRUNED,3.0654914557937003,,1,full,32,4,32,6,late,0.003742889560975985,0.0397025032921312,1.0,1.0,1,linear,0.003475953720984035,0.1,0.02,1.0,23,384,52824784,,,,12,42,,
37,COMPLETE,2.7848457396030426,,2,lean,32,4,48,4,late,0.0097017478119532,0.27119871609346563,1.0,1.0,1,linear,0.0023059917950209187,0.1,0.06,1.0,17,768,49992032,0.22586777806282043,78479.44170451215,3.530810832977295,12,42,,1737e266
38,PRUNED,3.091760223452378,,3,lean,16,1,48,4,late,0.01779270456628548,0.040141179029627314,1.0,1.0,1,linear,0.0017607079628709375,0.15,0.1,1.0,14,1152,49386516,,,,12,42,,
39,PRUNED,3.106973804993607,,3,full,24,2,24,4,late,0.007909866799701355,0.006510185075835087,1.0,1.0,1,head_scalar,0.007513989037640454,0.1,0.1,1.0,15,1152,52033088,,,,12,42,,
40,PRUNED,3.098151050712721,,2,lean,16,2,24,6,late,0.013045516246788439,0.012298085633262673,1.0,1.0,1,learned,0.005670084328900236,0.1,0.02,1.0,17,768,50001596,,,,12,42,,
41,PRUNED,3.1108206521307844,,2,full,24,2,16,4,late,0.010735009233439194,0.009012032557830797,1.0,1.0,1,learned,0.008304365832316495,0.1,0.02,1.0,18,768,51498632,,,,12,42,,
42,PRUNED,3.076424280311527,,1,full,24,4,24,6,late,0.013769458846089046,0.009862611624723527,1.0,1.0,1,linear,0.007093566828775855,0.05,0.02,1.0,23,384,52534176,,,,12,42,,
43,PRUNED,3.0999123069078234,,3,full,24,4,8,4,late,0.016951616608103754,0.005273150957740087,1.0,1.0,1,learned,0.007434892464778011,0.1,0.06,1.0,15,1152,51990088,,,,12,42,,
44,PRUNED,3.101534755584546,,2,full,8,4,48,4,late,0.01629454930273523,0.021344468912398933,1.0,1.0,1,learned,0.00827995975821052,0.1,0.02,1.0,18,768,51769168,,,,12,42,,
45,COMPLETE,2.7591951191425323,,2,full,32,4,32,4,late,0.01406944699650794,0.006967030916763563,1.0,1.0,1,learned,0.006463388741243674,0.05,0.06,1.0,18,768,51908656,0.14766868948936462,101849.28316055315,2.848970413208008,12,42,,8ed306a4
46,PRUNED,3.112281302374907,,2,full,24,1,24,3,late,0.009149851421581093,0.013358074896479152,1.0,1.0,1,learned,0.008000998167956287,0.1,0.04,1.0,18,768,51158019,,,,12,42,,
47,PRUNED,3.1011058943001535,,2,lean,32,4,24,4,late,0.013880813579240986,0.010338994189162946,1.0,1.0,1,head_scalar,0.0058103985156543435,0.1,0.1,1.0,17,768,49690976,,,,12,42,,
48,PRUNED,3.132515603265783,,1,lean,24,4,24,6,late,0.013218373782553285,0.014089772656133188,1.0,1.0,1,learned,0.008139559528870731,0.1,0.02,1.0,22,384,50881128,,,,12,42,,
49,PRUNED,3.143221880143628,,2,lean,24,4,24,4,late,0.015223016631531007,0.0066016590794534865,1.0,1.0,1,learned,0.00732652958874336,0.15,0.04,1.0,17,768,49591312,,,,12,42,,
50,COMPLETE,2.7586970031261444,,3,full,32,4,48,4,late,0.00755455954163963,0.010941294834499503,1.0,1.0,1,learned,0.004830443538500505,0.1,0.02,1.0,15,1152,52574968,0.18009799718856812,84739.8575113273,3.5596461296081543,12,42,,8e035888
