a,b,r,n
ska_n_heads,ska_ridge,-0.9435316765274797,30
d_state,ska_rank,0.6984302957695783,30
d_state,mamba_expand,0.5976143046671969,30
d_state,warmup_ratio,0.5595752592703399,30
mamba_expand,ska_rank,0.5008703226778095,30
d_state,ska_layerscale_init,0.4869110746374161,30
mamba_expand,n_ska_layers,0.4466625002869186,30
ska_rank,warmup_ratio,0.4271800639619427,30
d_state,weight_decay,-0.41522739926869995,30
ska_layerscale_init,ska_rank,0.3954009074259078,30
warmup_ratio,weight_decay,-0.3944563142079307,30
ska_rank,ska_ridge,0.35292563246875924,30
ska_n_heads,ska_rank,-0.3480088743394451,30
n_ska_layers,warmup_ratio,0.3404212026725978,30
mamba_expand,warmup_ratio,0.33441017947781065,30
mamba_expand,weight_decay,-0.32258958354055234,30
n_ska_layers,weight_decay,-0.3103448275862071,30
d_state,n_ska_layers,0.24913643956121997,30
ska_layerscale_init,warmup_ratio,0.24089938648463938,30
ska_ridge,warmup_ratio,0.23229904686252514,30
n_ska_layers,ska_rank,0.20300517669800958,30
ska_rank,weight_decay,-0.20300517669800955,30
ska_ridge,weight_decay,-0.17617478886424073,30
d_state,learning_rate,0.165640320138394,30
learning_rate,weight_decay,-0.16053838045151084,30
learning_rate,ska_layerscale_init,-0.15144200589675264,30
ska_layerscale_init,ska_ridge,-0.11495069619022924,30
mamba_expand,ska_layerscale_init,-0.09815725991850452,30
n_ska_layers,ska_ridge,0.09216287999331063,30
learning_rate,ska_n_heads,0.08987260386886538,30
learning_rate,mamba_expand,0.08781989877359847,30
d_state,ska_n_heads,0.08304547985374,30
learning_rate,n_ska_layers,-0.07693004126224477,30
ska_layerscale_init,ska_n_heads,0.07581022478302998,30
ska_layerscale_init,weight_decay,0.0733142683595478,30
n_ska_layers,ska_layerscale_init,-0.07151958406963373,30
ska_n_heads,warmup_ratio,-0.07024564499593285,30
mamba_expand,ska_n_heads,0.0496291666985465,30
learning_rate,warmup_ratio,-0.0478323261410197,30
learning_rate,ska_ridge,-0.03553367544205724,30
n_ska_layers,ska_n_heads,0.03448275862068966,30
ska_n_heads,weight_decay,-0.034482758620689655,30
d_state,ska_ridge,0.025198202566351375,30
learning_rate,ska_rank,-0.022463866512279985,30
mamba_expand,ska_ridge,-0.017005713078796746,30
