trial,ska_delta,objective,anchor,run_id
25,0.22586777806282043,2.7848457396030426,,1737e266
37,0.22586777806282043,2.7848457396030426,,1737e266
29,0.21871912479400635,2.7736617028713226,,400d5ed6
59,0.2040627896785736,2.7772600054740906,,01a74cd3
12,0.2008141279220581,2.774172157049179,rank-48,0064efe3
17,0.19432738423347473,2.78426530957222,layerscale-20x,7ca34aa6
50,0.18009799718856812,2.7586970031261444,,8e035888
16,0.17530250549316406,2.7851627469062805,layerscale-5x,21aeb257
11,0.16652661561965942,2.7775371074676514,rank-32,4fadc4f7
14,0.162811279296875,2.7848976850509644,ska-layers-6,2c9f6502
5,0.15304246544837952,2.849388599395752,lr-0.3x,b8edd944
22,0.15089595317840576,2.78356209397316,warmup-0.06,cfc2b69f
19,0.14981359243392944,2.7917266190052032,beta-linear,bbc27192
7,0.14967596530914307,2.776101380586624,lr-1.5x,e483ec60
45,0.14766868948936462,2.7591951191425323,,8ed306a4
