tokens_per_sec,objective,trial,per_device_batch_size,peak_memory_gib,param_count,worker_trial_ordinal,anchor,run_id
138159.13096869615,2.7714751064777374,8,12,2.8466358184814453,51698320,1,lr-2.2x,6ea41325
106077.87758655555,2.7632943987846375,9,12,2.8466358184814453,51698320,1,lr-3.3x,9c6d2caf
101849.28316055315,2.7591951191425323,45,12,2.848970413208008,51908656,1,,8ed306a4
84739.8575113273,2.7586970031261444,50,12,3.5596461296081543,52574968,5,,8e035888
