attention_fraction,attention_placement,cfg,d_conv,d_model,d_state,final_mqar_acc,final_mqar_proxy_ppl,final_wikitext_ppl,head_dim,last_train_loss,learning_rate,mamba_expand,max_grad_norm,mlp_expand,model_type,mqar_acc_step_100,mqar_acc_step_200,mqar_acc_step_300,mqar_acc_step_400,mqar_acc_step_500,mqar_proxy_ppl_step_100,mqar_proxy_ppl_step_200,mqar_proxy_ppl_step_300,mqar_proxy_ppl_step_400,mqar_proxy_ppl_step_500,n_layers,n_non_embedding_params,n_params,n_special_layers,number,score,state,transformer_dropout,warmup_ratio,weight_decay,wikitext_ppl_step_100,wikitext_ppl_step_200,wikitext_ppl_step_300,wikitext_ppl_step_400,wikitext_ppl_step_500
0.0,none,"{""d_conv"": 4, ""d_model"": 192, ""d_state"": 32, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 2.667, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 2, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 3, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",,192,,0.0,12958.57408377584,1107.2287714567203,64,6.789913177490234,0.002803751863132791,,2.0,2.667,transformer,0.0,0.0,0.0,0.0,0.0,18291.81524436237,14461.187751240856,12016.583928656763,10790.020445697095,12654.912785467195,2,717568,10366912,0,10,-0.35048077851533893,COMPLETE,0.0,0.0969132666736412,0.00774503999223658,1488.7089388577247,1343.527893534707,1370.085729915266,1102.667410460936,1151.4242467295348
0.0,none,"{""d_conv"": 4, ""d_model"": 192, ""d_state"": 32, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 2.667, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 2, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 3, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",,192,,0.0,14508.043461549503,1153.435253861052,64,6.735324382781982,0.002661897319215856,,2.0,2.667,transformer,0.0,0.0,0.0,0.0,0.0,32350.97420688584,30095.585807302898,15851.51736946371,13852.96935933985,13480.954669323104,2,717568,10366912,0,11,-0.35252499729394915,COMPLETE,0.0,0.09934734607775658,0.006147373287024678,1559.738509694717,1436.0918909155366,1444.002285938753,1183.8223401806074,1207.915799079866
,,,,384,,,,,64,,,,,2.667,transformer,,,,,,,,,,,4,,,,12,,PRUNED,0.0,,,,,,,
0.0,none,"{""d_conv"": 4, ""d_model"": 192, ""d_state"": 64, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 3.0, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 2, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 3, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",4,192,64,0.0,553844.8612003025,6777.659481655357,64,8.41124153137207,0.0007450000521926104,2,2.0,3.0,mamba_only,0.0,0.0,0.0,0.0,0.0,485165195.4097903,97633234.96732582,1580600.5531065485,493849.13340573234,775607.1082800465,2,1165220,10814564,0,13,-0.4410693556070328,COMPLETE,,0.07962060742252797,0.045427802330175696,358454864.3617635,164290.90237102014,17109.996549267013,6892.478514191806,7059.891777284664
0.0,none,"{""d_conv"": 4, ""d_model"": 256, ""d_state"": 32, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 4.0, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 2, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 4, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",,256,,0.0,34481.600859641556,1194.9991507985092,64,6.7621073722839355,0.0029646246735127607,,2.0,4.0,transformer,0.0,0.0,0.0,0.0,0.0,52838.744608573186,30895.90427141664,46278.447763240365,33978.10683874413,32624.612449927037,2,1612800,14478592,0,14,-0.3542950376868248,COMPLETE,0.1,0.08001498668614339,0.004093771922806791,1558.7650703160932,1427.12964189123,1491.853793278426,1201.542328484561,1259.743504216318
0.0,none,"{""d_conv"": 2, ""d_model"": 128, ""d_state"": 64, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 2.667, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 2, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 2, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",2,128,64,0.0,485165195.4097903,40329960.61485227,64,18.209365844726562,0.00024086510152463412,2,0.5,2.667,mamba_only,0.0,0.0,0.0,0.0,0.0,485165195.4097903,485165195.4097903,485165195.4097903,485165195.4097903,485165195.4097903,2,529432,6962328,0,15,-0.875630259513855,COMPLETE,,0.099701806222616,0.13697251753999612,485165195.4097903,485165195.4097903,144831965.01041692,40580079.88215025,49100612.0070911
,,,,192,,,,,64,,,,,4.0,transformer,,,,,,,,,,,8,,,,16,,PRUNED,0.0,,,,,,,
,,,,192,,,,,32,,,,,2.667,transformer,,,,,,,,,,,6,,,,17,,PRUNED,0.0,,,,,,,
0.333,uniform,,4,64,16,,,,64,,,1,,2.667,mamba_attn,,,,,,,,,,,2,,,,18,,PRUNED,,,,,,,,
0.0,none,"{""d_conv"": 4, ""d_model"": 128, ""d_state"": 32, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 2.667, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 6, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 2, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",,128,,0.0,12125.99397121439,1126.1486169571638,64,6.720886707305908,0.0010315711417976951,,1.0,2.667,transformer,0.0,0.0,0.0,0.0,0.0,19904.112360110757,20217.55652123443,10945.231705153283,11390.969506050043,12268.55693863152,6,1008896,7441792,0,19,-0.35132793933153156,COMPLETE,0.0,0.06405395261155132,0.06406794705158333,1426.7690179875538,1258.6031554084138,1341.793669269611,1130.366594898771,1194.3504800081023
