number,score,model_type,n_params,final_mqar_acc,n_non_embedding_params,final_wikitext_ppl,final_mqar_proxy_ppl,d_model,n_layers,head_dim,mlp_expand,d_state,d_conv,mamba_expand,attention_fraction,attention_placement,learning_rate,weight_decay,warmup_ratio,max_grad_norm,transformer_dropout
11,-0.267072743177414,transformer,10366912,0.0751953125,717568,939.5124904487541,16.03461392537094,192,2,64,2.667,,,,,,0.002803751863132791,0.00774503999223658,0.0969132666736412,2.0,0.0
33,-0.27430873811244966,transformer,14215936,0.06640625,1350144,910.778530929544,16.072091981497355,256,2,32,3.0,,,,,,0.0026971800118670316,0.16572670763793101,0.06083718726421279,0.5,0.05
45,-0.2665327891707421,mamba_only,14468208,0.064453125,1602416,749.7338548966819,16.086813158969672,256,2,64,2.0,16,4,2,,,0.0026928087833221616,0.17484844211519734,0.06952488400641171,0.5,
