attention_fraction,attention_placement,cfg,d_conv,d_model,d_state,final_mqar_acc,final_mqar_proxy_ppl,final_wikitext_ppl,head_dim,last_train_loss,learning_rate,mamba_expand,max_grad_norm,mlp_expand,model_type,mqar_acc_step_1200,mqar_acc_step_1500,mqar_acc_step_300,mqar_acc_step_600,mqar_acc_step_900,mqar_proxy_ppl_step_1200,mqar_proxy_ppl_step_1500,mqar_proxy_ppl_step_300,mqar_proxy_ppl_step_600,mqar_proxy_ppl_step_900,n_layers,n_non_embedding_params,n_params,n_special_layers,number,score,state,transformer_dropout,warmup_ratio,weight_decay,wikitext_ppl_step_1200,wikitext_ppl_step_1500,wikitext_ppl_step_300,wikitext_ppl_step_600,wikitext_ppl_step_900
0.0,none,"{""d_conv"": 4, ""d_model"": 384, ""d_state"": 32, ""mamba_expand"": 3, ""max_seq_len"": 128, ""mlp_expand"": 3.0, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 8, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 12, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",4,384,32,0.0,5424019.242474886,4166.823939884719,32,4.615339756011963,0.0004922786019194372,3,1.0,3.0,mamba_only,0.0,0.0,0.0,0.0,0.0,3729690.9669349147,6798263.258577307,96495773.32653959,260208.4400333775,1078534.012585401,8,21556912,40855600,0,0,-0.41674546897411346,COMPLETE,,0.006505159298527952,0.03410482473745831,3418.5070345390227,5177.247250691774,55690.57992069993,2831.2516408404326,3770.1226173638515
0.5,late,,3,384,16,,,,64,,,1,,2.667,mamba_attn,,,,,,,,,,,4,,,,1,,PRUNED,,,,,,,,
0.125,middle,"{""d_conv"": 2, ""d_model"": 256, ""d_state"": 32, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 4.0, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 12, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [5, 6], ""ska_n_heads"": 4, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",2,256,32,0.0,836228.9471855444,1500.4520569970005,64,4.055078506469727,0.0021702839536996235,2,0.5,4.0,mamba_attn,0.0,0.0,0.0,0.0,0.0,562343.5067115657,932482.3183356628,58280.477934580435,147792.48687089517,229325.0039981997,12,14113392,26979184,2,2,-0.3656760856509209,COMPLETE,,0.06334037565104235,0.1616240759128834,1178.5400861780495,1797.2709138164291,1154.6572806290815,844.9501244047292,1094.5755886590991
,,,,64,,,,,32,,,,,2.667,transformer,,,,,,,,,,,4,,,,3,,PRUNED,0.1,,,,,,,
,,,,256,,,,,64,,,,,3.0,transformer,,,,,,,,,,,6,,,,4,,PRUNED,0.0,,,,,,,
,,,,64,,,,,64,,,,,2.667,transformer,,,,,,,,,,,2,,,,5,,PRUNED,0.05,,,,,,,
0.5,early,,2,384,16,,,,32,,,2,,2.0,mamba_attn,,,,,,,,,,,2,,,,6,,PRUNED,,,,,,,,
,,,4,128,16,,,,32,,,1,,4.0,mamba_only,,,,,,,,,,,2,,,,7,,PRUNED,,,,,,,,
,,,,128,,,,,32,,,,,4.0,transformer,,,,,,,,,,,4,,,,8,,PRUNED,0.1,,,,,,,
0.25,uniform,,3,256,128,,,,32,,,4,,4.0,mamba_attn,,,,,,,,,,,6,,,,9,,PRUNED,,,,,,,,
