number,state,loss,mamba_expand,depth_tier,d_state,ska_n_heads,ska_rank,n_ska_layers,placement,ska_ridge,ska_layerscale_init,norm_clip_multiplier,gamma_value,ska_power_K,beta_policy,learning_rate,weight_decay,warmup_ratio,grad_clip,n_layers,d_inner,param_count,ska_delta,per_device_batch_size,tokens_per_sec,worker_id,peak_memory_gib,failure_kind
267,COMPLETE,4.285782516002655,3,full,24,2,8,4,late,0.003377375946995641,0.005230055794713788,1.25,0.9,1,one,0.0047448350318739585,0.1,0.06,0.5,11,192,2959900,0.008313000202178955,24,409022.5924563565,1,4.493391990661621,
268,COMPLETE,4.327194571495056,3,full,32,8,24,2,late,0.004769780109668107,0.11633644166378732,0.8164965809277261,1.05,2,linear,0.005078586037685301,0.05,0.02,1.0,11,192,2997404,0.02482372522354126,24,401427.34093836497,5,4.493795394897461,
269,COMPLETE,4.3013142347335815,3,lean,16,8,24,4,midlate,0.01944463925780684,0.07148429722065815,1.25,0.9,1,one,0.004742682177155099,0.1,0.02,0.5,10,192,2959848,0.05661255121231079,24,265504.8767806387,0,4.493372917175293,
270,COMPLETE,4.323613524436951,3,lean,24,4,16,6,even,0.005446723175098222,0.014217512178576931,1.0,0.9,1,head_scalar,0.004553398470245453,0.05,0.02,1.0,10,192,2938400,0.03768879175186157,24,366148.14266317256,7,4.493160247802734,
271,COMPLETE,4.302680492401123,3,full,24,1,24,6,midlate,0.011119233819021038,0.04655296227343574,1.25,0.9,2,head_scalar,0.004755510129445614,0.1,0.04,0.5,11,192,2986786,0.017451047897338867,24,361508.9469726727,2,4.493714332580566,
272,COMPLETE,4.318312227725983,2,full,8,2,24,2,midlate,0.0038832188624242613,0.08851453944804656,0.75,1.05,2,linear,0.004919277766060618,0.15,0.06,0.5,13,128,2908940,0.025063931941986084,24,472052.7793830249,1,4.492849349975586,
273,COMPLETE,4.2984946966171265,2,lean,24,2,24,4,late,0.029603845390457705,0.0716183358496144,0.75,0.9,2,linear,0.0053606691806061995,0.15,0.04,0.5,12,128,2900648,0.0400162935256958,24,400850.9206808451,3,4.492753982543945,
274,COMPLETE,4.2813960909843445,3,full,24,2,8,4,late,0.0033633503577926932,0.009205232357613455,1.25,0.9,1,one,0.00493760424020374,0.1,0.06,0.5,11,192,2959900,0.0054305195808410645,24,455141.5875281071,6,4.493391990661621,
275,COMPLETE,4.3500441908836365,3,lean,24,4,24,2,midlate,0.02914809815028417,0.06863879761177445,1.25,1.0,2,one,0.004764693931469439,0.05,0.01,1.0,10,192,2880520,0.011946260929107666,24,446799.02171595016,5,4.492481231689453,
276,COMPLETE,4.293202102184296,2,full,24,1,32,4,midlate,0.019760919495457774,0.2317759457437909,1.25,0.9,1,one,0.00458902734136459,0.15,0.06,1.0,13,128,2958120,0.05882841348648071,24,407128.8178896324,1,4.4934000968933105,
277,COMPLETE,4.358210504055023,2,full,8,2,24,2,midlate,0.0038974806605511507,0.13293617117150444,0.75,1.05,2,linear,0.004063611295841583,0.15,0.06,0.5,13,128,2908940,0.028907179832458496,24,492972.0111622568,2,4.492849349975586,
278,COMPLETE,4.3448299169540405,3,lean,24,1,32,3,late,0.005732015288990269,0.015778145896152968,0.8164965809277261,1.0,2,one,0.004156279040726813,0.0,0.06,1.0,10,192,2876552,0.005853474140167236,24,486825.50376763684,7,4.4924421310424805,
279,COMPLETE,4.364320397377014,3,full,24,1,24,6,midlate,0.016164162765792887,0.13883229503924738,1.25,0.9,2,head_scalar,0.0034468299994886405,0.1,0.04,0.5,11,192,2986786,0.018647313117980957,24,346457.0983123196,4,4.493714332580566,
280,COMPLETE,4.298661530017853,3,full,24,2,8,4,late,0.003003681082230808,0.013515803503701632,1.25,0.9,1,one,0.0045465453105168994,0.1,0.06,0.5,11,192,2959900,0.0081634521484375,24,491242.3054155969,6,4.493391990661621,
281,COMPLETE,4.276968240737915,2,full,8,2,24,6,even,0.011876392541913836,0.029588012616370837,0.8164965809277261,0.9,1,linear,0.004888559722098848,0.1,0.04,0.5,13,128,2967316,0.10702770948410034,24,335636.64192787407,3,4.493532180786133,
282,COMPLETE,4.306271314620972,3,lean,8,1,24,2,even,0.015621033245699677,0.007032060954834493,0.8164965809277261,0.9,1,learned,0.00476272665961648,0.15,0.01,0.5,10,192,2840138,0.09166491031646729,24,593740.933927962,2,4.492039680480957,
283,COMPLETE,4.304795324802399,2,lean,32,1,32,3,midlate,0.025361360065487015,0.038238710862878056,0.75,1.05,1,one,0.00475205002307116,0.05,0.06,1.0,12,128,2892768,0.05322033166885376,24,454630.7039221459,5,4.492640495300293,
284,COMPLETE,4.291118681430817,3,lean,16,8,24,4,midlate,0.018657250036972543,0.07034564068825808,1.25,0.9,1,one,0.004699649435433597,0.1,0.02,0.5,10,192,2959848,0.05576533079147339,24,268858.6984041284,0,4.493372917175293,
285,COMPLETE,4.318404793739319,2,lean,24,2,24,4,late,0.029052949767636723,0.13156802479980845,0.75,0.9,2,linear,0.005292004244967812,0.15,0.04,0.5,12,128,2900648,0.03489518165588379,24,405194.75225560326,1,4.492753982543945,
286,COMPLETE,4.289054095745087,2,full,24,1,32,4,midlate,0.029629069219346806,0.2525539983416568,1.25,0.9,1,one,0.0047976343184748214,0.15,0.06,1.0,13,128,2958120,0.0611342191696167,24,414180.6734465093,7,4.4934000968933105,
287,COMPLETE,4.277507245540619,3,full,24,2,8,4,late,0.004535014472637501,0.014132002326882645,1.25,0.9,1,one,0.005135502902528514,0.1,0.06,0.5,11,192,2959900,0.005665123462677002,24,466318.3959393619,6,4.493391990661621,
288,COMPLETE,4.326119124889374,3,full,24,1,8,4,late,0.011561046798523694,0.019486215730663857,1.25,1.0,2,linear,0.004830964016301505,0.0,0.02,1.0,11,192,2956064,0.0072443485260009766,24,449092.60472426534,4,4.493361473083496,
289,COMPLETE,4.312003552913666,3,lean,8,1,24,2,even,0.015620957140165162,0.005434629869312806,0.8164965809277261,0.9,1,learned,0.004620643464202987,0.15,0.01,0.5,10,192,2840138,0.08214640617370605,24,571875.9766654184,2,4.492039680480957,
290,COMPLETE,4.355180025100708,2,lean,32,1,32,3,midlate,0.020365526581687148,0.071438643664268,0.75,1.05,1,one,0.004695948981719628,0.05,0.02,1.0,12,128,2892768,0.057734012603759766,24,464316.6057242727,5,4.492640495300293,
291,COMPLETE,4.3077826499938965,3,lean,24,2,8,4,late,0.003038098307142317,0.007052615574711905,1.25,0.9,1,one,0.004911914634655428,0.1,0.06,0.5,10,192,2880776,0.008125901222229004,24,505810.9578683939,6,4.492494583129883,
292,COMPLETE,4.292118608951569,3,lean,24,1,24,4,midlate,0.017907251170087405,0.014480537390433878,1.25,0.9,1,one,0.005124670307009817,0.15,0.04,1.0,10,192,2884872,0.03648710250854492,24,406901.4095562163,1,4.49254035949707,
