axis,variance_share,spread,resolved,varied,binned,levels
learning_rate,0.7516019061031018,0.35935427431976574,,True,True,"[0.001501, 0.002833]=4.5937584597203465 (n=72); [0.002833, 0.004166]=4.356448836255781 (n=101); [0.004166, 0.005499]=4.234404185400581 (n=868)"
ska_rank,0.3396216178619587,0.18023403076319422,,True,False,8=4.411297061162837 (n=85); 16=4.385159863822762 (n=87); 24=4.315165905209331 (n=154); 32=4.231063030399643 (n=715)
mamba_expand,0.2865900733708023,0.2372694275029117,,True,False,1=4.481509858056119 (n=57); 2=4.322273559828062 (n=185); 3=4.244240430553207 (n=799)
ska_power_K,0.24370275829739704,0.1676332865883703,,True,False,1=4.251292872467851 (n=918); 2=4.418926159056221 (n=123)
beta_policy,0.21046173817343464,0.1272976664538561,,True,False,head_scalar=4.332876422241623 (n=102); learned=4.330275329014727 (n=131); linear=4.236376940606316 (n=698); one=4.363674607060172 (n=110)
warmup_ratio,0.15437881553476496,0.11772871062359513,,True,False,0.01=4.361685597083786 (n=88); 0.02=4.348225991593467 (n=90); 0.04=4.302655573960008 (n=145); 0.06=4.24395688646019 (n=718)
depth_tier,0.10317490478645937,0.08460045892158163,,True,False,full=4.252245406358882 (n=809); lean=4.336845865280464 (n=232)
weight_decay,0.09065734156869482,0.09268215648195799,,True,False,0.0=4.339708639174392 (n=97); 0.05=4.32437609191294 (n=108); 0.1=4.280430288025827 (n=231); 0.15=4.247026482692434 (n=605)
n_ska_layers,0.05810539893780915,0.08534924254458254,,True,False,2=4.333919189934038 (n=117); 3=4.289655537177355 (n=195); 4=4.262074669841493 (n=404); 6=4.248569947389456 (n=325)
grad_clip,0.05395510012538237,0.05604936413639017,,True,False,0.5=4.310834971394869 (n=303); 1.0=4.254785607258479 (n=738)
d_state,0.04730793739170108,0.07471196317617146,,True,False,8=4.327426599683585 (n=108); 16=4.294952419982559 (n=174); 24=4.260855930900156 (n=457); 32=4.252714636507413 (n=302)
ska_n_heads,0.04199747307940629,0.060550990951036,,True,False,1=4.2920694740195025 (n=190); 2=4.256104193590394 (n=398); 4=4.257061915466199 (n=313); 8=4.31665518454143 (n=140)
placement,0.0391395246504793,0.060970156201505255,,True,False,even=4.316909795546013 (n=184); late=4.255939639344508 (n=392); midlate=4.265752760184708 (n=465)
ska_layerscale_init,0.024852902528297586,0.03829019262333144,,True,True,"[0.005044, 0.01968]=4.291477024555206 (n=252); [0.01968, 0.07679]=4.283792797602763 (n=294); [0.07679, 0.2996]=4.253186831931875 (n=495)"
gamma_value,0.015465862276230239,0.03350138222879551,,True,False,0.9=4.259394106622857 (n=522); 1.0=4.292895488851652 (n=254); 1.05=4.273266402505479 (n=265)
norm_clip_multiplier,0.0036178505506686645,0.01892279503918015,,True,False,0.75=4.264247510281015 (n=235); 0.8164965809277261=4.274543250098211 (n=267); 1.0=4.283170305320195 (n=175); 1.25=4.267194391115681 (n=364)
ska_ridge,0.0008645219282978366,0.006536964667116507,,True,True,"[0.003004, 0.012]=4.274006415327252 (n=574); [0.012, 0.021]=4.267469450660135 (n=261); [0.021, 0.02999]=4.267599832375073 (n=206)"
