param_count,objective,trial,anchor,run_id
2834600,4.802019834518433,19,,4710a4f0
2838220,4.415989875793457,151,,855bdeeb
2838562,4.377598345279694,24,,4b8abfcd
2840138,4.306271314620972,282,,08b5e59d
2854667,4.222349107265472,833,,45411e45
2872588,4.200842201709747,1166,,9e5ca39b
2889228,4.198530912399292,519,,5cd1a0f8
2903150,4.19455224275589,1633,,29548d34
2925230,4.192230045795441,1196,,31d59b3b
2950196,4.176839053630829,1412,,cc32d778
2956208,4.167736828327179,849,,18fdce60
3018280,4.15367066860199,1645,,46d0bc81
3030424,4.153550982475281,1028,,9a7cf264
3080356,4.151790618896484,1794,,ef35825a
