tokens_per_sec,objective,trial,per_device_batch_size,peak_memory_gib,param_count,worker_trial_ordinal,anchor,run_id
621199.5613000816,4.415989875793457,151,24,4.492016792297363,2838220,19,,855bdeeb
605747.0311323319,4.284497916698456,298,24,4.4932756423950195,2951308,40,,d2dd7e31
550592.7148145181,4.213020026683807,713,24,4.493061542510986,2931246,87,,c71c2f38
509240.62941198266,4.2094473242759705,422,24,4.493329048156738,2955534,49,,e16d17b2
465395.18078446866,4.200842201709747,1166,24,4.492397308349609,2872588,134,,9e5ca39b
456101.2080889112,4.191513478755951,1795,24,4.493420600891113,2963856,27,,f76e7a23
419202.6836984304,4.184246361255646,898,24,4.493488311767578,2968354,121,,bcb8bf38
417547.05482473463,4.180553615093231,715,24,4.493357181549072,2956208,84,,3809f67a
415138.5571892151,4.175487458705902,717,24,4.493357181549072,2956208,94,,74d33ee6
393011.73116923595,4.167736828327179,849,24,4.493357181549072,2956208,97,,18fdce60
307520.8333794509,4.165255546569824,1052,24,4.494194984436035,3030424,130,,ae97a265
289631.9516489661,4.153550982475281,1028,24,4.494194984436035,3030424,122,,9a7cf264
216138.40491662,4.151790618896484,1794,24,4.494752883911133,3080356,21,,ef35825a
