anchor,objective,param_beta_policy,param_count,param_d_state,param_depth_tier,param_gamma_value,param_grad_clip,param_learning_rate,param_mamba_expand,param_n_ska_layers,param_norm_clip_multiplier,param_placement,param_ska_layerscale_init,param_ska_n_heads,param_ska_power_K,param_ska_rank,param_ska_ridge,param_warmup_ratio,param_weight_decay,run_id,trial,worker_id
,4.151790618896484,linear,3080356,32,full,1.0,1.0,0.005405825902014229,3,6,0.75,late,0.2452382897668451,4,1,32,0.022846843162214723,0.04,0.15,ef35825a,1794,1
,4.153550982475281,linear,3030424,32,full,1.05,1.0,0.005442782570005058,3,6,0.8164965809277261,late,0.18787253910265442,2,1,32,0.015296322015417384,0.06,0.1,9a7cf264,1028,3
,4.15367066860199,linear,3018280,24,full,0.9,0.5,0.005431400717977099,3,6,0.8164965809277261,late,0.2659964539538071,2,1,32,0.024984117268027378,0.06,0.15,46d0bc81,1645,5
,4.158833265304565,linear,3018280,24,full,0.9,0.5,0.005090502943625981,3,6,0.8164965809277261,late,0.29204476784344946,2,1,32,0.025569242522370608,0.06,0.15,0c113d5e,1658,5
,4.160823106765747,linear,3080356,32,full,1.0,1.0,0.005483318553637849,3,6,0.8164965809277261,late,0.24969059645784533,4,1,32,0.011698591406469916,0.06,0.15,36f69632,1232,6
,4.162708938121796,linear,3030424,32,full,0.9,1.0,0.0052456155740117924,3,6,0.8164965809277261,late,0.27280426832950233,2,1,32,0.029561792016220292,0.06,0.1,fa225e5c,1555,2
,4.163372695446014,linear,3018280,24,full,1.05,1.0,0.005473941408176937,3,6,1.25,late,0.22181160593936566,2,1,32,0.021621062228737324,0.06,0.15,7b827756,908,5
,4.165255546569824,linear,3030424,32,full,1.05,1.0,0.005025673767283742,3,6,0.8164965809277261,late,0.21043028508452355,2,1,32,0.02286630964068031,0.06,0.1,ae97a265,1052,0
,4.166462481021881,linear,3018284,24,full,1.05,1.0,0.005484130216855269,3,4,1.25,midlate,0.02135383746846626,4,1,32,0.003947313166922267,0.06,0.15,fb74bee7,587,5
,4.166615664958954,linear,3030424,32,full,0.9,1.0,0.005278244806191105,3,6,1.0,midlate,0.21835984674482542,2,1,32,0.01097740634940402,0.06,0.1,1bed11e5,1715,7
,4.166902840137482,linear,3030424,32,full,0.9,0.5,0.005401461812287792,3,6,1.0,midlate,0.07106025784479661,2,1,32,0.017259696814854685,0.06,0.1,d1f63a18,1558,1
,4.1670143604278564,linear,3068212,24,full,0.9,1.0,0.005441513070625173,3,6,0.8164965809277261,late,0.16405126021361177,4,1,32,0.010787394952820236,0.06,0.15,e62e68ca,931,3
,4.167736828327179,linear,2956208,16,full,0.9,1.0,0.005479359724633474,3,4,0.75,midlate,0.27784766410327355,1,1,32,0.011870128868475773,0.06,0.15,18fdce60,849,3
,4.168152034282684,linear,3030424,32,full,1.05,1.0,0.005315989678263283,3,6,1.25,late,0.15077570156663891,2,1,32,0.011659808997254141,0.06,0.15,50929ded,983,3
,4.168948471546173,linear,3030424,32,full,1.0,1.0,0.005143665353260794,3,6,0.8164965809277261,late,0.09289627369129168,2,1,32,0.007962002896653813,0.06,0.1,69a6749c,1045,7
