axis,importance,importance_global
learning_rate,0.5888017181291244,0.6861435408226924
ska_layerscale_init,0.15500162686963057,0.05369030513140919
n_ska_layers,0.052944465071934795,0.013856102028759117
ska_ridge,0.039814086795422435,0.012216252739989948
depth_tier,0.03203658557883927,0.02199496846437636
placement,0.02343961576035123,0.007962935582040928
warmup_ratio,0.021587064465423307,0.04407739665722577
d_state,0.01794884111893699,0.008425203289765372
ska_n_heads,0.013351276172674781,0.009394900128779252
ska_rank,0.012817973955143527,0.036917503638575384
weight_decay,0.012579012662329343,0.024078880833846458
norm_clip_multiplier,0.008286871186219994,0.0010524289105964034
mamba_expand,0.0067199423144668185,0.021992724308834626
beta_policy,0.006030329380827612,0.02916829715574566
gamma_value,0.0046233626489654124,0.004555483086044883
grad_clip,0.003042489708981956,0.007291261355041195
ska_power_K,0.0009747381807274483,0.017181815866277067
