left,right,interaction_magnitude,signed_magnitude,sign_change,sigmas,resolved,degenerate,thin_levels,conditionals
ska_rank,n_ska_layers,0.18482247125451945,0.1912350124195905,False,,,False,[],2=0.1865446612996573/-0.17640539999891036 (n=117); 3=0.18465314486509143/-0.18465314486509143 (n=195); 4=0.11386725377228313/-0.10745471260721207 (n=404); 6=0.2986897250268026/-0.2986897250268026 (n=325)
learning_rate,ska_rank,0.14065100468378677,0.14065100468378677,False,,,False,[],8=0.26977638896975975/-0.26977638896975975 (n=85); 16=0.30522671506955046/-0.30522671506955046 (n=87); 24=0.3159366035582245/-0.3159366035582245 (n=154); 32=0.4104273936535465/-0.4104273936535465 (n=715)
ska_rank,ska_ridge,0.08647203161263395,0.12090658857369352,False,,,False,[],"[0.003004, 0.012]=0.17902587467512365/-0.17902587467512365 (n=574); [0.012, 0.021]=0.23440440469666513/-0.23440440469666513 (n=261); [0.021, 0.02999]=0.14793237308403118/-0.1134978161229716 (n=206)"
gamma_value,norm_clip_multiplier,0.03467081920098636,0.10159321655361708,True,,,False,[],0.75=0.0675049647105741/0.06743488062099168 (n=235); 0.8164965809277261=0.042473170460200826/0.042473170460200826 (n=267); 1.0=0.03283414550958774/0.03283414550958774 (n=175); 1.25=0.03945099130747476/-0.034158335932625405 (n=364)
ska_rank,ska_power_K,0.03885444139025296,0.08067708063987311,False,,,False,[],1=0.15965984446009696/-0.15965984446009696 (n=918); 2=0.120805403069844/-0.07898276382022384 (n=123)
ska_rank,norm_clip_multiplier,0.07988030263208312,0.07988030263208312,False,,,False,[],0.75=0.22796534141643754/-0.22796534141643754 (n=235); 0.8164965809277261=0.22265125926234575/-0.22265125926234575 (n=267); 1.0=0.17718644134509276/-0.16703371770488928 (n=175); 1.25=0.14808503878435442/-0.14808503878435442 (n=364)
n_ska_layers,ska_layerscale_init,0.03796869343608744,0.07521649027296906,False,,,False,[],"[0.005044, 0.01968]=0.10459272794157037/-0.032363169140867676 (n=252); [0.01968, 0.07679]=0.0685686187919714/-0.031320821955089784 (n=294); [0.07679, 0.2996]=0.10653731222805884/-0.10653731222805884 (n=495)"
learning_rate,n_ska_layers,0.06578824632074376,0.06578824632074376,False,,,False,[],2=0.3581830671283317/-0.3581830671283317 (n=117); 3=0.31859896975651125/-0.31859896975651125 (n=195); 4=0.3534682559420519/-0.3534682559420519 (n=404); 6=0.384387216077255/-0.384387216077255 (n=325)
learning_rate,ska_power_K,0.06131697823657767,0.06131697823657767,False,,,False,[],1=0.35324609292360964/-0.35324609292360964 (n=918); 2=0.291929114687032/-0.291929114687032 (n=123)
n_ska_layers,placement,0.019582629303080523,0.04523258851222689,False,,,False,[],even=0.10808999536502029/-0.048256821704633523 (n=184); late=0.09348941021686041/-0.09348941021686041 (n=392); midlate=0.08850736606193976/-0.086564494647841 (n=465)
ska_power_K,gamma_value,0.03884683630924357,0.03884683630924357,False,,,False,[],0.9=0.1434474352128543/0.1434474352128543 (n=522); 1.0=0.1822910572437042/0.1822910572437042 (n=254); 1.05=0.18229427152209787/0.18229427152209787 (n=265)
ska_ridge,ska_layerscale_init,0.007614431803187216,0.033961675492605536,True,,,False,[],"[0.005044, 0.01968]=0.020713262235449115/-0.020713262235449115 (n=252); [0.01968, 0.07679]=0.014939826701430903/0.013248413257156422 (n=294); [0.07679, 0.2996]=0.013098830432261899/-0.013098830432261899 (n=495)"
ska_layerscale_init,learning_rate,0.022585661122986878,0.0339261419724064,True,,,False,[],"[0.001501, 0.002833]=0.014988299943407668/0.002250658571115949 (n=72); [0.002833, 0.004166]=0.009089822278303572/-0.009089822278303572 (n=101); [0.004166, 0.005499]=0.03167548340129045/-0.03167548340129045 (n=868)"
ska_ridge,ska_power_K,0.018823337903461024,0.022063943291461108,False,,,False,[],1=0.007563135644383934/-0.00432253025638385 (n=918); 2=0.026386473547844957/-0.026386473547844957 (n=123)
