attention_fraction,attention_placement,cfg,d_conv,d_model,d_state,final_mqar_acc,final_mqar_proxy_ppl,final_wikitext_ppl,head_dim,last_train_loss,learning_rate,mamba_expand,max_grad_norm,mlp_expand,model_type,mqar_acc_step_1200,mqar_acc_step_1500,mqar_acc_step_300,mqar_acc_step_600,mqar_acc_step_900,mqar_proxy_ppl_step_1200,mqar_proxy_ppl_step_1500,mqar_proxy_ppl_step_300,mqar_proxy_ppl_step_600,mqar_proxy_ppl_step_900,n_layers,n_non_embedding_params,n_params,n_special_layers,number,score,state,train_lm_loss_step_1200,train_lm_loss_step_1500,train_lm_loss_step_300,train_lm_loss_step_600,train_lm_loss_step_900,train_mqar_loss_step_1200,train_mqar_loss_step_1500,train_mqar_loss_step_300,train_mqar_loss_step_600,train_mqar_loss_step_900,train_total_loss_step_1200,train_total_loss_step_1500,train_total_loss_step_300,train_total_loss_step_600,train_total_loss_step_900,transformer_dropout,warmup_ratio,weight_decay,wikitext_ppl_step_1200,wikitext_ppl_step_1500,wikitext_ppl_step_300,wikitext_ppl_step_600,wikitext_ppl_step_900
0.0,none,"{""d_conv"": 4, ""d_model"": 384, ""d_state"": 32, ""mamba_expand"": 3, ""max_seq_len"": 128, ""mlp_expand"": 3.0, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 8, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 12, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",4,384,32,0.05859375,16.23749376561562,2252.397120467189,32,8.775087356567383,0.0004922786019194372,3,1.0,3.0,mamba_only,0.07421875,0.08203125,0.0390625,0.08203125,0.0625,18.742358689906204,15.996979166869174,61.59652574774634,27.55271487273393,20.881829826245088,8,21556912,40855600,0,0,-0.3273937657475472,COMPLETE,5.754673004150391,5.975282669067383,11.804518699645996,7.749183654785156,6.15645170211792,2.84765625,2.7998046875,4.1259765625,3.52099609375,2.8701171875,8.60232925415039,8.775087356567383,15.930495262145996,11.270179748535156,9.026569366455078,,0.006505159298527952,0.03410482473745831,2076.8656380279344,2718.5186519747863,196409.9222373884,4653.328877066146,2741.931060985488
0.5,late,,3,384,16,,,,64,,,1,,2.667,mamba_attn,,,,,,,,,,,4,,,,1,,PRUNED,,,,,,,,,,,,,,,,,,,,,,,
0.125,middle,"{""d_conv"": 2, ""d_model"": 256, ""d_state"": 32, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 4.0, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 12, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [5, 6], ""ska_n_heads"": 4, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",2,256,32,0.0595703125,16.188263413438065,897.4495267614537,64,7.682293891906738,0.0021702839536996235,2,0.5,4.0,mamba_attn,0.046875,0.05859375,0.05859375,0.0390625,0.04296875,17.374628089972955,16.208283860178117,25.521007923331105,21.911368576988895,19.353835657005096,12,14113392,26979184,2,2,-0.28040753155946735,COMPLETE,4.631042003631592,4.898602485656738,7.200126647949219,6.15374231338501,5.446101665496826,2.78125,2.78369140625,3.2685546875,3.063720703125,2.869140625,7.412292003631592,7.682293891906738,10.468681335449219,9.217462539672852,8.315242767333984,,0.06334037565104235,0.1616240759128834,863.4936696674404,1034.6972314261416,1932.9209831052497,875.7786218298397,918.1445072606244
,,,,64,,,,,32,,,,,2.667,transformer,,,,,,,,,,,4,,,,3,,PRUNED,,,,,,,,,,,,,,,,0.1,,,,,,,
,,,,256,,,,,64,,,,,3.0,transformer,,,,,,,,,,,6,,,,4,,PRUNED,,,,,,,,,,,,,,,,0.0,,,,,,,
,,,,64,,,,,64,,,,,2.667,transformer,,,,,,,,,,,2,,,,5,,PRUNED,,,,,,,,,,,,,,,,0.05,,,,,,,
0.5,early,,2,384,16,,,,32,,,2,,2.0,mamba_attn,,,,,,,,,,,2,,,,6,,PRUNED,,,,,,,,,,,,,,,,,,,,,,,
,,,4,128,16,,,,32,,,1,,4.0,mamba_only,,,,,,,,,,,2,,,,7,,PRUNED,,,,,,,,,,,,,,,,,,,,,,,
,,,,128,,,,,32,,,,,4.0,transformer,,,,,,,,,,,4,,,,8,,PRUNED,,,,,,,,,,,,,,,,0.1,,,,,,,
0.25,uniform,,3,256,128,,,,32,,,4,,4.0,mamba_attn,,,,,,,,,,,6,,,,9,,PRUNED,,,,,,,,,,,,,,,,,,,,,,,
0.0,none,"{""d_conv"": 2, ""d_model"": 256, ""d_state"": 32, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 4.0, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 12, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 4, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",2,256,32,0.0556640625,16.124167184370947,809.8445476873554,64,7.313354969024658,0.0027077300823630536,2,0.5,4.0,mamba_only,0.05859375,0.078125,0.05078125,0.05078125,0.08203125,16.94161378117579,16.030210491869642,29.285886568441562,18.437150459310697,18.174034443601347,12,14416928,27282720,0,10,-0.27917805314064026,COMPLETE,4.666223526000977,4.554077625274658,6.936453819274902,5.945235252380371,5.266202449798584,2.83203125,2.75927734375,3.4130859375,2.8037109375,3.12646484375,7.498254776000977,7.313354969024658,10.349539756774902,8.748946189880371,8.392667770385742,,0.08811703997690679,0.19468443619973072,720.08177115595,933.1652269569074,1517.571882602443,757.3465502071805,817.2346795589867
,,,2,256,32,,,,64,,,2,,4.0,mamba_only,,,,,,,,,,,4,,,,11,,PRUNED,,,,,,,,,,,,,,,,,,,,,,,
0.125,middle,"{""d_conv"": 2, ""d_model"": 256, ""d_state"": 32, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 4.0, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 12, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [5, 6], ""ska_n_heads"": 4, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",2,256,32,0.11328125,13.241705496255577,706.018654013622,64,7.176769733428955,0.0028792857412198243,2,0.5,4.0,mamba_attn,0.109375,0.06640625,0.0625,0.09375,0.11328125,13.33762815617626,13.994672241061366,35.68743207134036,19.564052920283455,14.865951940939597,12,14113392,26979184,2,12,-0.2147008329629898,COMPLETE,4.772042751312256,4.636239528656006,7.048520565032959,5.766147136688232,5.157054424285889,2.579655885696411,2.540530204772949,2.960693359375,3.21240234375,2.4419190883636475,7.351698875427246,7.176769733428955,10.009214401245117,8.97854995727539,7.598973274230957,,0.08684123585042992,0.19890605406438952,652.512976940789,839.9737671240971,1544.2969210540768,746.3087325513368,759.232553827506
