attention_fraction,attention_placement,cfg,d_conv,d_model,d_state,final_mqar_acc,final_mqar_proxy_ppl,final_wikitext_ppl,head_dim,last_train_loss,learning_rate,mamba_expand,max_grad_norm,mlp_expand,model_type,mqar_acc_step_1000,mqar_acc_step_200,mqar_acc_step_400,mqar_acc_step_600,mqar_acc_step_800,mqar_proxy_ppl_step_1000,mqar_proxy_ppl_step_200,mqar_proxy_ppl_step_400,mqar_proxy_ppl_step_600,mqar_proxy_ppl_step_800,n_layers,n_non_embedding_params,n_params,n_special_layers,number,score,state,transformer_dropout,warmup_ratio,weight_decay,wikitext_ppl_step_1000,wikitext_ppl_step_200,wikitext_ppl_step_400,wikitext_ppl_step_600,wikitext_ppl_step_800
,,,4,384,32,,,,32,,,3,,3.0,mamba_only,,,,,,,,,,,8,,,,0,,PRUNED,,,,,,,,
,,,,128,,,,,32,,,,,2.0,transformer,,,,,,,,,,,2,,,,1,,PRUNED,0.05,,,,,,,
,,,,64,,,,,32,,,,,3.0,transformer,,,,,,,,,,,6,,,,2,,PRUNED,0.1,,,,,,,
0.125,middle,,2,256,32,,,,64,,,2,,4.0,mamba_attn,,,,,,,,,,,12,,,,3,,PRUNED,,,,,,,,
0.0,none,"{""d_conv"": 4, ""d_model"": 256, ""d_state"": 32, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 2.0, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 4, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 4, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",,256,,0.0,13297.898951044179,952.9932452440795,64,6.067687511444092,0.002306432040442484,,2.0,2.0,transformer,0.0,0.0,0.0,0.0,0.0,12294.043025639672,125154.55437147373,18385.83734118037,12454.15486495966,10624.033483939696,4,2141696,15007488,0,4,-0.34298039078712467,COMPLETE,0.1,0.05187906217433661,0.06464058640415105,1010.5825951658688,1366.5145121584883,1171.001006922849,1217.8498757763298,989.1258943185463
0.0,none,"{""d_conv"": 4, ""d_model"": 256, ""d_state"": 32, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 3.0, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 6, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 4, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",,256,,0.0,16266.098575178918,906.9547043517824,64,6.335521221160889,0.0005548564976918174,,0.5,3.0,transformer,0.0,0.0,0.0,0.0,0.0,17396.739558298636,18707.315356398725,10308.485358222919,11487.319151109818,18886.287455171638,6,3983872,16849664,0,5,-0.3405046254396439,COMPLETE,0.0,0.00902897700544083,0.1071549368149517,974.3312116870865,1161.7080200270357,989.4357002640911,1128.5592893437608,920.5964210743626
0.125,early,"{""d_conv"": 3, ""d_model"": 256, ""d_state"": 16, ""mamba_expand"": 4, ""max_seq_len"": 128, ""mlp_expand"": 2.0, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 6, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [0], ""ska_n_heads"": 4, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",3,256,16,0.0,485165195.4097903,485165195.4097903,64,23.44222068786621,4.787010063196982e-05,4,2.0,2.0,mamba_attn,0.0,0.0,0.0,0.0,0.0,485165195.4097903,485165195.4097903,485165195.4097903,485165195.4097903,485165195.4097903,6,6648176,19513968,1,6,-1.0,COMPLETE,,0.0005061583846218687,0.13270035382161116,485165195.4097903,485165195.4097903,485165195.4097903,485165195.4097903,485165195.4097903
0.5,early,"{""d_conv"": 2, ""d_model"": 384, ""d_state"": 32, ""mamba_expand"": 4, ""max_seq_len"": 128, ""mlp_expand"": 2.667, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 2, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [0], ""ska_n_heads"": 6, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",2,384,32,0.0,485165195.4097903,35326392.32970897,64,16.570898056030273,0.00011641770641757959,4,2.0,2.667,mamba_attn,0.0,0.0,0.0,0.0,0.0,485165195.4097903,485165195.4097903,485165195.4097903,485165195.4097903,485165195.4097903,2,4762632,24061320,1,7,-0.8690070450305939,COMPLETE,,0.0851136671516857,0.07701954572038505,34020488.598595545,485165195.4097903,485165195.4097903,206333779.2184259,24937416.441351265
,,,,192,,,,,64,,,,,3.0,transformer,,,,,,,,,,,2,,,,8,,PRUNED,0.05,,,,,,,
0.125,early,,4,256,32,,,,64,,,2,,4.0,mamba_attn,,,,,,,,,,,8,,,,9,,PRUNED,,,,,,,,
0.0,none,"{""d_conv"": 4, ""d_model"": 256, ""d_state"": 32, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 3.0, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 6, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 4, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",,256,,0.0,27950.48126631589,940.3474189132583,64,6.468319892883301,0.0004404085862095114,,0.5,3.0,transformer,0.0,0.0,0.0,0.0,0.0,30760.429147455303,15832.179178171431,14266.563022894436,21130.992777067746,21387.909285532936,6,3983872,16849664,0,10,-0.3423124700784683,COMPLETE,0.0,0.025792695260149195,0.18153295905650355,1011.0150574924381,1182.8370089672142,1048.7380768821736,1119.255889605339,933.8368137583016
0.0,none,"{""d_conv"": 3, ""d_model"": 256, ""d_state"": 64, ""mamba_expand"": 1, ""max_seq_len"": 128, ""mlp_expand"": 3.0, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 6, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 4, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",3,256,64,0.0,141265.79100700788,1619.1087979871288,64,6.835054874420166,0.0005202962381692875,1,0.5,3.0,mamba_only,0.0,0.0,0.0,0.0,0.0,167021.68048732917,485165195.4097903,5989933.213195329,284842.7016394426,211728.8071985891,6,4938824,17804616,0,11,-0.3694815576076508,COMPLETE,,0.030826836357545077,0.19211911844076673,1778.8946767717127,683318.5739317778,5578.998371258064,2734.637663637835,1553.8891958052498
0.0,none,"{""d_conv"": 4, ""d_model"": 256, ""d_state"": 32, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 3.0, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 6, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 4, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",,256,,0.0,11796.755723731561,928.1644982996944,64,6.414141654968262,0.0004957571444097859,,0.5,3.0,transformer,0.0,0.0,0.0,0.0,0.0,10746.642216523765,16630.508360894244,22959.886481827405,16591.981321038747,11277.517333163727,6,3983872,16849664,0,12,-0.34166044890880587,COMPLETE,0.0,0.026439561087246384,0.1494836458792489,991.439809254899,1184.509242057297,1016.2562546761731,1132.587840764478,937.3786557113555
,,,,384,,,,,64,,,,,3.0,transformer,,,,,,,,,,,6,,,,13,,PRUNED,0.0,,,,,,,
0.0,none,"{""d_conv"": 4, ""d_model"": 256, ""d_state"": 32, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 4.0, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 6, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 8, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",,256,,0.0,22718.033301187854,891.6273112694026,32,6.059453964233398,0.0007138061388179561,,1.0,4.0,transformer,0.0,0.0,0.0,0.0,0.0,22215.48665833885,19521.514829717897,17990.6493595175,16873.852405234324,18721.02202230651,6,4771840,17637632,0,14,-0.3396524116396904,COMPLETE,0.0,0.012874590992482584,0.12061034623622015,968.11437558499,1119.28324220794,979.9591584342195,1080.1453382132513,919.8687791916268
0.0,none,"{""d_conv"": 4, ""d_model"": 256, ""d_state"": 32, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 4.0, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 6, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 8, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",,256,,0.0,12390.088278893349,962.6484637111465,32,6.472319602966309,0.001206067527137272,,1.0,4.0,transformer,0.0,0.0,0.0,0.0,0.0,12152.29643007823,15300.183751150094,9613.257722545492,15157.044754039074,16056.00000238955,6,4771840,17637632,0,15,-0.34348441511392597,COMPLETE,0.0,0.0033326214015335157,0.10896153667172784,1032.5310877375873,1285.3763076035657,1129.577369132888,1194.5666288710236,970.5494304176653
0.0,none,"{""d_conv"": 4, ""d_model"": 256, ""d_state"": 32, ""mamba_expand"": 2, ""max_seq_len"": 128, ""mlp_expand"": 2.667, ""mlp_gated"": false, ""mlp_spectral_norm"": true, ""n_layers"": 4, ""ska_backend"": ""auto"", ""ska_chunk_size"": 64, ""ska_chunk_strategy"": ""standard"", ""ska_decay_alpha"": 0.95, ""ska_layer_indices"": [], ""ska_n_heads"": 8, ""ska_overlap_fraction"": 0.5, ""ska_power_K"": 2, ""ska_rank"": 32, ""ska_ridge"": 0.001, ""ska_scale"": 1.5, ""tie_embeddings"": true, ""vocab_size"": 50257}",,256,,0.0,12795.100804003507,1008.9812417534755,32,6.516246318817139,0.00024483401448065315,,1.0,2.667,transformer,0.0,0.0,0.0,0.0,0.0,12187.951063991193,17876.81258226701,17629.761548953098,12369.3093703392,11460.707072082318,4,2535680,15401472,0,16,-0.3458348214626312,COMPLETE,0.0,0.0141584241652351,0.10752246740852939,1076.2747101188017,1229.951333454597,1086.3518548207076,1202.2623000160127,1004.2290219579708
,,,3,256,128,,,,32,,,1,,4.0,mamba_only,,,,,,,,,,,12,,,,17,,PRUNED,,,,,,,,
0.25,uniform,,4,128,16,,,,64,,,3,,3.0,mamba_attn,,,,,,,,,,,4,,,,18,,PRUNED,,,,,,,,
,,,,64,,,,,64,,,,,2.667,transformer,,,,,,,,,,,12,,,,19,,PRUNED,0.0,,,,,,,
